credit_id,plant_id,credits_generated,market_price_usd,transaction_date
1,44,5869.29,75.67,2024-10-02
2,130,6090.73,17.5,2023-11-03
3,71,2459.42,47.25,2023-11-01
4,134,5696.98,59.04,2024-06-29
5,182,2110.73,17.75,2024-04-12
6,147,687.78,96.21,2024-10-16
7,160,7995.27,13.6,2023-12-15
8,124,2546.22,87.21,2023-05-29
9,199,8274.71,55.56,2023-08-24
10,84,8561.64,6.76,2023-03-18
11,96,2004.96,55.2,2023-07-18
12,20,7034.36,55.56,2023-02-06
13,84,2222.83,74.74,2023-03-16
14,18,6351.5,54.15,2023-11-06
15,130,7253.84,75.35,2024-12-05
16,130,3149.99,84.79,2024-07-25
17,112,1727.81,36.1,2023-08-12
18,77,7444.57,33.2,2023-03-31
19,186,1841.24,90.93,2024-12-14
20,43,1805.54,88.66,2024-08-01
21,170,6425.8,18.28,2024-01-08
22,95,2632.85,66.3,2024-01-02
23,118,3977.28,70.04,2024-06-04
24,48,7383.94,27.17,2023-03-12
25,124,8796.4,32.17,2024-11-28
26,193,1506,61.56,2023-04-11
27,71,3857.31,75.37,2023-01-08
28,99,1180.27,46.43,2023-05-29
29,13,8900.65,21.12,2024-11-05
30,21,3570.39,90.41,2024-01-10
31,123,990.27,59.23,2024-08-01
32,112,4866.14,76.34,2024-08-20
33,108,2128.65,25.29,2023-02-02
34,200,1383.65,66.15,2024-05-17
35,47,9280.52,55.28,2023-02-05
36,113,8112.84,59.3,2023-07-23
37,59,8727.39,82.69,2023-06-07
38,82,542.61,14.44,2024-03-17
39,181,7524.22,27.65,2023-06-19
40,94,7325.82,83.96,2024-11-08
41,187,1953,86.98,2024-08-07
42,167,9627.78,39.46,2023-09-22
43,172,7514.13,29.78,2023-04-12
44,121,3539.76,57.22,2024-04-05
45,29,2546.86,45.68,2023-11-22
46,54,6610.05,72.73,2024-05-23
47,162,4049.57,83.46,2023-05-17
48,122,7983.17,84.48,2024-03-06
49,12,6696.64,77.84,2024-12-20
50,156,2476.28,57.24,2024-07-09
51,194,6451.84,57.47,2024-06-26
52,23,7358.54,56.24,2024-12-26
53,78,1881.15,96.91,2023-11-22
54,157,7433.23,77.41,2023-04-18
55,91,2182.29,41.25,2023-07-28
56,51,2059.84,54.19,2024-07-15
57,12,9827.94,90.35,2024-08-11
58,182,833.68,46.77,2024-06-09
59,150,585.15,37.33,2023-10-13
60,180,7718.19,59.47,2024-06-20
61,101,5032.83,13.68,2023-09-13
62,179,6935.17,63.18,2024-09-10
63,89,4183.71,93.15,2023-05-09
64,42,1787.87,70.68,2023-11-17
65,88,1151.1,93.82,2023-08-04
66,104,5895.52,11.93,2024-11-17
67,24,9345.45,71.26,2024-01-06
68,101,9535.83,40.01,2024-10-28
69,95,6938.89,78.31,2023-03-11
70,137,2730.16,96.59,2023-01-23
71,192,4046.56,91.74,2023-05-21
72,75,7024.43,40.26,2024-06-07
73,170,703.68,93.11,2023-06-19
74,48,5346.27,67.77,2023-09-23
75,113,6659.86,52.03,2024-08-15
76,18,2901.66,48.6,2023-06-11
77,106,444.67,66.25,2024-03-10
78,116,9635.85,26.72,2024-02-29
79,7,2489.16,44.85,2024-03-08
80,121,3823.28,99.14,2023-10-29
81,12,3853.3,58.79,2023-11-15
82,128,1043.93,37.61,2023-10-20
83,25,9840.32,12.56,2024-07-01
84,84,9200.94,20.02,2023-01-29
85,198,7152.64,59.24,2023-03-19
86,163,6844.24,50.49,2024-09-17
87,193,8282.85,28.61,2024-03-18
88,98,7468.36,76.78,2024-07-10
89,84,2288.35,59.56,2023-07-15
90,65,8224.67,53.86,2024-12-28
91,33,8795.26,73.65,2023-09-28
92,137,9091.78,75.23,2024-11-10
93,114,8857.1,65.19,2023-01-22
94,59,6444.82,71.77,2024-04-18
95,40,7213.53,22.63,2024-10-07
96,152,3566.08,21.17,2023-01-05
97,79,9110.29,18.61,2024-12-18
98,131,9644.19,66.29,2023-10-14
99,164,7960.1,14.58,2024-08-26
100,41,699.69,26.23,2024-02-16
101,43,7280.45,90.41,2023-04-08
102,126,1527.01,9.1,2024-09-17
103,101,667.25,44.67,2024-10-26
104,73,7661.27,90.95,2023-07-17
105,84,5071.49,10.44,2024-04-30
106,113,2217.38,8.23,2024-02-18
107,24,7471.81,74.2,2023-03-13
108,185,9859.03,31.94,2023-02-25
109,194,1407.31,80.53,2024-04-01
110,65,3803.98,86.86,2024-02-16
111,119,5660.97,94.96,2023-07-24
112,134,5708.05,72.6,2024-05-16
113,162,8348.51,16.9,2024-01-27
114,53,3740.45,29.74,2024-11-05
115,11,8647.41,78.71,2024-10-04
116,160,5649.99,80.92,2023-04-13
117,146,1374.74,43.15,2023-12-02
118,10,884.34,17.94,2024-04-06
119,191,5372.46,54.07,2024-04-13
120,149,8556.8,37.74,2024-06-06
121,137,4657.03,15.39,2023-01-18
122,102,8125.15,9.03,2023-03-31
123,94,9022.11,5.87,2024-07-16
124,9,4603.36,54.75,2023-01-07
125,18,4061.55,43.25,2024-01-26
126,192,5584.67,46.61,2024-04-23
127,70,7268.03,96.01,2023-06-27
128,198,6589.67,45.27,2024-03-17
129,150,1779.01,47.26,2023-05-17
130,185,8947.72,9.83,2023-03-01
131,176,6531.56,84.24,2023-08-20
132,128,6653.14,75.1,2024-01-27
133,165,3815.31,53.85,2024-05-02
134,17,9278.89,60.51,2023-01-04
135,177,9620.7,14.09,2024-09-17
136,123,2232.74,19.88,2024-07-29
137,82,8051.15,92.09,2024-02-07
138,45,4203.18,35.89,2024-01-17
139,97,2923.36,9.18,2023-04-02
140,20,3705.14,46.27,2024-01-28
141,157,9939.95,58.58,2024-02-08
142,120,3995.27,23.92,2023-07-01
143,111,686.32,54.3,2023-03-24
144,134,5307.25,24.57,2024-08-10
145,83,2783.45,89.27,2024-10-28
146,186,647.37,56.85,2023-03-17
147,69,1699.03,60.49,2024-06-04
148,168,5646.03,13.26,2024-03-31
149,200,6350.65,71.65,2024-09-02
150,86,3683.6,66.56,2023-05-23
151,18,663.21,82.75,2024-10-30
152,54,6166.17,69.49,2023-10-20
153,177,7692.49,96.39,2024-03-13
154,56,3410.62,49.27,2024-03-12
155,17,7895.81,67.08,2024-09-09
156,57,6744.15,57.39,2023-06-10
157,129,3137.72,35.42,2024-12-27
158,159,226.5,56.61,2024-12-14
159,197,3445.27,60.17,2024-02-08
160,108,9079.3,34.32,2023-04-23
161,183,2583.1,14.74,2024-01-02
162,146,310.71,36.5,2024-09-06
163,42,5014.9,57.13,2024-05-29
164,67,5115.93,42.16,2024-03-02
165,39,6814.05,81.09,2023-08-12
166,83,9675.43,24.67,2024-12-14
167,109,2566.21,79.62,2023-01-16
168,103,6507.14,75.49,2024-05-27
169,147,1526.07,17.75,2024-04-22
170,42,6921.98,88.49,2024-03-15
171,60,8336.61,95.09,2024-07-08
172,10,8313.71,39.76,2023-01-12
173,82,7116.66,40.1,2023-06-15
174,43,4747.5,64.65,2023-07-01
175,190,5509.48,5.13,2023-03-09
176,41,6647.62,83.72,2023-06-01
177,11,6303.81,70.05,2024-01-12
178,71,8423.68,56.84,2023-10-27
179,133,4107.11,58.7,2023-11-29
180,186,7367.99,38.89,2024-01-09
