failure_id,plant_id,failure_type,outage_hours,financial_loss_usd,failure_date
1,50,Transformer Failure,10.69,116797.7,2024-05-01
2,106,Voltage Drop,31.58,335634.71,2024-01-06
3,109,Transformer Failure,31.98,178752.09,2023-07-21
4,152,Overheating,16.4,40228.85,2023-02-24
5,137,Grid Instability,22,94595.54,2023-02-24
6,32,Transformer Failure,12.29,204457.14,2023-03-13
7,107,Overheating,18.36,283678.91,2024-03-22
8,24,Transformer Failure,31.12,429297.76,2024-08-21
9,171,Grid Instability,26.14,411363.6,2023-12-10
10,155,Voltage Drop,42.2,398483.39,2023-10-18
11,87,Transformer Failure,4.59,286300.92,2024-10-20
12,72,Voltage Drop,7.55,141466.94,2023-07-27
13,133,Voltage Drop,17.78,75437.58,2024-12-31
14,113,Grid Instability,10.96,69629.23,2023-11-02
15,1,Voltage Drop,20.06,106976.4,2024-11-15
16,200,Transformer Failure,39.11,293460.1,2023-09-13
17,169,Overheating,41.59,407027.37,2023-02-07
18,78,Transformer Failure,47.69,17962.52,2024-10-03
19,128,Voltage Drop,13.01,313328.97,2023-04-16
20,153,Grid Instability,31.47,168669.09,2023-09-17
21,33,Overheating,7.68,40685.17,2023-08-24
22,109,Voltage Drop,42.2,460941.89,2023-04-10
23,134,Overheating,5.87,437458.64,2023-07-16
24,199,Voltage Drop,45.84,487060.23,2024-11-15
25,124,Voltage Drop,47.43,477869.73,2024-11-12
26,164,Overheating,6.03,56227.37,2023-04-28
27,136,Voltage Drop,18.73,449071.6,2023-01-26
28,144,Voltage Drop,8.12,432373.9,2024-11-28
29,29,Voltage Drop,45.07,116180.74,2024-10-06
30,110,Grid Instability,2.8,424337.08,2023-08-04
31,101,Voltage Drop,37.72,101814.92,2024-07-01
32,5,Transformer Failure,16.99,303889.66,2023-03-11
33,135,Voltage Drop,21.37,60105.06,2024-06-05
34,84,Overheating,24.25,90330.69,2024-03-31
35,89,Voltage Drop,21.57,6757.64,2024-12-24
36,125,Voltage Drop,15.36,137776.36,2024-07-11
37,138,Transformer Failure,19.5,483841.01,2023-12-06
38,200,Grid Instability,1.52,443717.76,2023-07-13
39,111,Voltage Drop,27.77,12899.28,2024-10-03
40,144,Transformer Failure,19.09,57124.1,2023-01-19
41,56,Grid Instability,20.73,38638.57,2024-09-08
42,88,Overheating,4.57,347104.29,2024-05-06
43,58,Grid Instability,42.4,442023.36,2024-11-02
44,200,Voltage Drop,35.47,491602.67,2023-01-09
45,47,Overheating,44.92,314487.53,2024-06-25
46,129,Voltage Drop,4.61,75773.89,2023-11-12
47,30,Overheating,35.85,237839.68,2024-02-03
48,66,Grid Instability,37.37,231735.1,2023-12-12
49,116,Overheating,1.45,368657.84,2024-11-30
50,164,Overheating,17.73,177576.99,2023-04-02
51,82,Voltage Drop,21.36,224741.38,2023-05-22
52,21,Overheating,29.32,154280.16,2024-04-26
53,105,Grid Instability,23.02,459813.24,2023-02-17
54,152,Transformer Failure,25.08,41066.1,2024-10-27
55,31,Voltage Drop,37.14,51445.13,2023-01-18
56,79,Voltage Drop,12.49,59695.6,2024-02-06
57,33,Overheating,34.35,183486.86,2023-03-29
58,16,Voltage Drop,34.8,348505.7,2024-04-25
59,112,Transformer Failure,10.99,284536.61,2023-06-27
60,116,Voltage Drop,22.91,433980.3,2023-12-03
61,91,Overheating,24.18,461961.17,2024-03-12
62,173,Transformer Failure,28.27,314953.17,2024-09-20
63,46,Voltage Drop,31.31,266859.49,2023-08-23
64,26,Voltage Drop,19.26,328810.28,2023-11-23
65,100,Transformer Failure,24.44,49766.21,2024-01-31
66,23,Grid Instability,25.21,295024.07,2023-06-12
67,43,Voltage Drop,42.61,220920.14,2024-10-10
68,135,Overheating,19.57,285497.01,2024-01-06
69,83,Voltage Drop,23.83,412052.55,2024-06-03
70,157,Transformer Failure,4.49,223765.72,2023-12-23
71,119,Voltage Drop,9.53,464651.85,2024-08-07
72,192,Overheating,21.37,489780.48,2024-12-07
73,181,Transformer Failure,44.36,208733.78,2024-02-21
74,151,Grid Instability,24.58,74271.24,2024-01-09
75,1,Transformer Failure,37.89,414830.53,2024-07-03
76,52,Grid Instability,21.86,75183.93,2023-09-10
77,150,Voltage Drop,17.81,409823.63,2024-06-18
78,149,Overheating,7.03,131825.61,2024-07-06
79,157,Grid Instability,25.48,459011.12,2023-01-24
80,129,Overheating,2.96,379114.74,2023-01-14
81,153,Grid Instability,38.75,320921.22,2024-03-21
82,62,Transformer Failure,4.2,28559.03,2024-11-23
83,13,Transformer Failure,42.71,60604.57,2024-06-08
84,150,Transformer Failure,47.72,367073.42,2024-06-19
85,188,Overheating,13.83,59729.23,2023-01-09
86,197,Voltage Drop,5.16,13920.83,2024-02-08
87,16,Voltage Drop,16.06,349094.2,2024-05-02
88,179,Transformer Failure,10.59,491178,2024-10-19
89,162,Voltage Drop,39.57,228238.82,2023-03-01
90,176,Voltage Drop,20.95,460441.93,2023-05-17
91,166,Voltage Drop,18.42,242925.79,2024-10-14
92,65,Transformer Failure,35.74,62975.34,2023-11-15
93,133,Voltage Drop,46.92,458208.97,2024-12-11
94,84,Grid Instability,37.29,339367.47,2023-05-28
95,73,Voltage Drop,14.44,466028.55,2024-11-25
96,83,Transformer Failure,4.88,333419.05,2023-02-12
97,186,Grid Instability,37.99,36651.25,2023-07-17
98,4,Voltage Drop,35.29,201165.42,2024-11-25
99,122,Grid Instability,29.84,217455.54,2024-12-20
100,43,Grid Instability,47.41,283792.89,2024-05-24
101,175,Transformer Failure,1.65,51943.65,2023-07-12
102,149,Overheating,23.47,357617.28,2024-03-28
103,198,Voltage Drop,12.75,338675.52,2024-07-12
104,168,Overheating,13.21,410522.66,2023-01-29
105,160,Grid Instability,45.1,87899.83,2024-03-21
106,79,Overheating,2.43,396138.07,2024-07-08
107,63,Overheating,13.22,362628.41,2023-12-10
108,110,Voltage Drop,12.45,187876.86,2023-11-06
109,159,Overheating,25.32,92370.76,2023-01-01
110,76,Grid Instability,31.68,91272.2,2023-04-30
111,33,Voltage Drop,12.33,55642.1,2024-05-01
112,29,Grid Instability,44.62,387849.62,2023-11-02
113,187,Overheating,45.67,78738.88,2023-04-13
114,101,Voltage Drop,28.11,89168.71,2023-09-17
115,72,Voltage Drop,11.42,387509.7,2023-10-10
116,153,Grid Instability,31.62,80689.42,2024-07-07
117,187,Overheating,31.93,273959.27,2023-11-03
118,144,Overheating,6.5,376634.81,2023-06-22
119,67,Voltage Drop,2,480398.45,2023-07-09
120,18,Overheating,45.93,83240.75,2023-07-09
121,46,Grid Instability,41.36,243778.5,2024-01-11
122,28,Transformer Failure,1.57,371156.31,2024-09-28
123,74,Voltage Drop,39.32,33440.29,2024-05-15
124,26,Voltage Drop,27.47,397567.79,2023-04-24
125,41,Overheating,33.88,492593,2024-07-12
126,9,Transformer Failure,15.21,303961.41,2024-11-14
127,84,Overheating,31.91,73100.78,2024-10-10
128,182,Overheating,16.93,317073.7,2024-08-09
129,34,Voltage Drop,45.7,201633.91,2023-01-31
130,170,Grid Instability,21.8,235925.45,2023-09-21
131,54,Voltage Drop,25.13,140535.24,2024-05-07
132,45,Overheating,7.29,439263.25,2024-11-01
133,173,Grid Instability,2.56,267441.53,2024-04-15
134,27,Overheating,18.84,162120.91,2024-09-18
135,76,Transformer Failure,3.76,460563.63,2024-10-28
136,65,Overheating,16.29,319682.14,2023-05-25
137,12,Transformer Failure,30.56,99822.88,2024-09-07
138,68,Grid Instability,26.75,436085.43,2024-12-13
139,67,Grid Instability,3.14,391618.01,2023-09-24
140,133,Grid Instability,23.72,282152.27,2023-05-19
141,190,Voltage Drop,6.51,147973.42,2024-07-28
142,137,Voltage Drop,5.88,89782.43,2023-05-19
143,177,Grid Instability,8,276218.45,2024-06-22
144,47,Transformer Failure,26.07,344655.5,2024-03-14
145,140,Voltage Drop,20.42,432804.85,2023-07-06
146,128,Overheating,11.47,469832.93,2024-01-19
147,7,Voltage Drop,44.32,395091.38,2024-06-03
