maintenance_id,plant_id,maintenance_type,issue_severity,maintenance_cost,downtime_hours,maintenance_date
1,97,Inspection,Low,94381.4,41.09,2023-05-25
2,113,Replacement,Low,81131.59,47.55,2023-05-24
3,108,Repair,Medium,6048.92,3.91,2024-09-21
4,89,Calibration,Medium,45082.55,30.74,2023-11-12
5,158,Replacement,Medium,77947.15,5.02,2024-11-08
6,50,Replacement,Critical,2221.18,34.9,2024-01-14
7,44,Calibration,Critical,42645.24,51.02,2023-08-28
8,144,Repair,Medium,33774.04,21.55,2023-10-12
9,5,Repair,High,976.73,47.71,2024-11-14
10,172,Repair,Medium,18708.44,22.47,2024-03-16
11,111,Repair,Critical,54325.55,48.82,2024-12-15
12,84,Repair,Critical,13261.55,37.35,2023-11-04
13,124,Calibration,Low,69739.93,69.28,2024-01-31
14,185,Calibration,Critical,24833.45,11.54,2023-05-10
15,163,Inspection,High,33335.23,26.02,2023-08-03
16,65,Inspection,High,85516.01,45.48,2024-03-27
17,102,Replacement,Critical,72783.33,28.48,2023-09-04
18,101,Inspection,Medium,59770.75,17.35,2024-11-20
19,156,Repair,Low,31241.3,17.34,2024-05-09
20,146,Replacement,High,3784.08,66.96,2023-06-20
21,122,Inspection,Medium,57729.93,11.07,2023-01-20
22,140,Inspection,Low,99791.98,62.66,2023-08-31
23,128,Repair,Critical,25363.91,13.05,2023-05-11
24,68,Replacement,Medium,34078.14,41.7,2024-06-26
25,22,Replacement,Medium,69744.06,41.46,2023-12-28
26,29,Calibration,Low,34929.01,62.9,2023-05-04
27,110,Inspection,Low,45969.34,45.58,2023-11-12
28,6,Calibration,Critical,23037.18,41.74,2024-06-02
29,81,Inspection,High,59022.02,30.04,2023-07-05
30,59,Replacement,High,96024.29,29.41,2023-07-04
31,169,Inspection,Low,94432.99,58.73,2023-12-18
32,81,Calibration,Low,42443.72,22.84,2023-01-28
33,119,Repair,Low,62904.51,70.31,2024-07-07
34,75,Inspection,High,91354.86,12.73,2023-02-28
35,88,Repair,High,60637.41,18.14,2024-08-17
36,66,Replacement,Critical,27063.8,49.77,2023-10-31
37,72,Replacement,Critical,53794.84,67.96,2023-02-28
38,83,Repair,Low,66188.19,64.08,2024-04-24
39,135,Repair,Medium,56370.21,39.11,2023-01-30
40,59,Repair,Low,71109.06,59.18,2023-02-07
41,43,Calibration,Medium,48159.76,5.89,2024-07-31
